Date,Close
1/2/2024,4741.72
1/3/2024,4722.02
1/4/2024,4700.8
1/5/2024,4691.54
1/8/2024,4703.76
1/9/2024,4736.37
1/10/2024,4761.51
1/11/2024,4795.69
1/12/2024,4794.76
1/16/2024,4770.5
1/17/2024,4732.2
1/18/2024,4756.2
1/19/2024,4792.09
1/22/2024,4855.63
1/23/2024,4858.6
1/24/2024,4891.3
1/25/2024,4885.97
1/26/2024,4892.52
1/29/2024,4891.51
1/30/2024,4925.74
1/31/2024,4902.2
2/1/2024,4867.6
2/2/2024,4914.19
2/5/2024,4949.23
2/6/2024,4954.26
2/7/2024,4977.59
2/8/2024,4991.2
2/9/2024,5001
